,LOF (outlier score),LogReg (entropy),LogReg (max prob),AE (reconstr err),NN (entropy),NN (max prob),PPCA (log prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),MCDropout (entropy),MCDropout (std),MCDropout (mutual information),Number of models
5810,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,3
17096,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,3
7155,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
9298,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
2153,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
14138,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,3
5085,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
11259,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
10573,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,3
2195,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
7480,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
9421,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
4699,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
15290,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,3
14872,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
3416,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3
12130,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,3
7674,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
12452,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
8224,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
13993,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3
11791,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
8685,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,3
2424,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
5086,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
11949,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,3
17974,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
15877,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
11163,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,3
1630,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
2468,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
4927,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
5388,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
12692,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,3
2606,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
12839,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3
9783,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,3
12718,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
17839,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
2258,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,2
4434,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
4928,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,2
6068,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,2
