,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
14691,275.78882,-20.337666,25.66468,3157.2842,0.0904876,0.011485517,1117.529583567929,0.5267071,1.1761198020812678,0.5692278,0.20198245,0.23444745,0.18297961,0.016071472,0.006255001,0.4897691423409907,0.10666345657934462,0.19501422,7.450581e-09,7.4505806e-07
14282,-473.56616,-18.273321,24.376614,3176.6345,0.034416676,0.0036010146,907.5386309683449,0.30637673,0.9956419061892359,0.0014405353,0.00019294879,0.00018621457,0.025639437,0.000862488,0.00019847415,0.024730341174881574,0.0024443772454466606,0.028946355,2.0954758e-09,-1.937151e-07
3707,1128.5411,-14.674918,24.610912,691.99963,0.23303354,0.037997365,1258.2711851748581,0.62355447,1.1488843686044974,0.04745449,0.015137879,0.016198102,0.26233977,0.017408336,0.004983604,0.01777337903268735,0.0016655348161201955,0.15914409,1.8626451e-09,-4.172325e-07
10427,921.3223,-21.889103,22.933556,1863.238,0.14964642,0.021475434,1483.8052271483168,0.70160425,1.243175553592835,0.04319851,0.0064983275,0.00600465,0.18605584,0.009618365,0.0023588985,0.7449199510839093,0.21180562517740142,0.1583661,1.3038516e-08,5.5134296e-07
8796,642.88727,-19.112942,25.818314,603.03754,0.012229678,0.0010829568,1280.5656975211941,0.61125094,1.1711827766619467,4.007231e-05,3.928629e-06,4.448342e-06,0.013455627,0.00057559187,0.00017169397,0.00010538485998689713,5.579152610901694e-06,0.025448514,0.0,7.711351e-07
9228,502.781,-16.938732,23.111042,1602.3658,0.4442894,0.09235722,1190.9493129052719,0.43372285,1.0323998310024163,0.1677764,0.036150478,0.03903456,0.5506369,0.031552453,0.0066291094,0.21380263304942237,0.03394442519000118,0.41441855,2.2351742e-08,8.940697e-08
6926,-308.805,-21.947872,23.894331,2153.7617,0.09042663,0.01147604,989.0888739290931,0.32028544,1.0565361792815937,0.037076507,0.0114650205,0.01233837,0.04914609,0.0012431073,0.00021309778,0.007604858969270144,0.0006298014578085542,0.035228208,2.561137e-09,-2.9057264e-07
3379,-492.191,-19.07545,24.914799,1445.3862,0.11271451,0.015058637,910.4692988648396,0.36663225,1.0201096786919925,0.03705882,0.006814385,0.007360272,0.08827467,0.0022189342,0.0003196597,0.24821329954696533,0.04129826104556,0.06671476,4.656613e-09,-2.30968e-07
1358,-536.3593,-20.685541,25.923607,1331.6483,0.02259196,0.0021999478,940.6697661085416,0.3779503,1.0241508123038447,0.0065083597,0.0015426246,0.0016450407,0.017080218,0.00046866306,9.461492e-05,0.018343957597676718,0.0017275487115544497,0.016795933,5.820766e-10,5.5879354e-09
8104,556.66077,-24.984312,29.149416,166.94148,0.20530212,0.032198906,1801.0962340801061,1.456457,1.1205081338871694,0.03056775,0.008493379,0.008730955,0.2179859,0.014730531,0.004338786,0.09117963434077975,0.011593288763982024,0.122798406,1.1175871e-08,3.501773e-07
