,MCDropout (entropy),MCDropout (std),MCDropout (mutual information),NN (entropy),NN (max prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),LOF (outlier score),LogReg (entropy),LogReg (max prob),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),PPCA (log prob),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),AE (reconstr err),Number of models
1205,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,True,True,7
16167,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,True,True,False,7
3583,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,7
4594,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,7
3451,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
16269,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
10207,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,7
1159,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
2222,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,7
5845,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,7
2792,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,7
7789,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,True,7
824,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,True,7
1137,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
11883,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
6039,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,7
17796,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
2130,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,7
5366,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,False,True,7
6623,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,7
10461,False,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,False,False,True,False,7
3303,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,True,7
3278,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,False,False,7
12966,False,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,7
3243,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
6711,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,7
2642,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,7
587,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
4236,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,7
2305,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,True,7
1988,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,7
10626,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,True,False,False,False,True,7
10270,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,7
7096,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,6
2424,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,6
11705,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
5810,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,6
2007,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,6
15984,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,6
9797,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,True,False,False,False,True,6
3792,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,6
6989,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,6
8967,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,6
6919,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,6
12823,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,6
11618,False,False,False,True,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,6
16735,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,6
3824,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True,6
6450,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,6
9718,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,6
14667,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,6
13445,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,6
14580,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,6
15290,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,True,6
17096,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,6
1230,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,6
10573,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,6
3046,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
14981,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,6
4958,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,6
6093,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,6
3504,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,6
3311,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,6
11783,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
12839,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,True,False,6
3796,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,6
17434,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,6
2437,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,6
4927,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,6
15890,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,6
6048,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,False,False,6
16164,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,6
13333,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,6
4970,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,6
9133,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,6
5388,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,6
141,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,True,6
2330,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,6
14717,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,6
8547,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,6
1319,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,6
17974,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False,6
5243,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,6
5085,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,6
14238,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
5131,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,6
658,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,6
12452,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
1051,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,6
8685,False,True,False,False,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,6
7160,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,6
9262,False,False,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,True,6
7431,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
16160,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,True,5
10697,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,5
1846,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
3363,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,5
14246,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
2841,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,5
14752,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,5
8307,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
7818,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,5
15998,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,5
10701,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,5
